GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,GAME_ID.1,TEAM_ID,TEAM_NAME,TEAM_CITY,MIN.1,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
22100312,2021-11-29,0,0,240,42,91,0.462,11,31,0.355,12,17,0.706,12,30,42,19,1,3,9,18,107,22100312,1610612757,Trail Blazers,Portland,240:00,112.1,112.6,134.2,135.8,-22.1,-23.2,0.452,2.11,15.0,0.255,0.738,0.473,9.426,9.5,0.522,0.543,1.0,0.197,95.8,95.0,79.17,95,0.387
22100311,2021-11-29,0,0,240,41,92,0.446,9,31,0.29,8,13,0.615,12,28,40,26,5,3,7,15,99,22100311,1610612764,Wizards,Washington,240:00,106.8,108.8,123.4,128.9,-16.6,-20.1,0.634,3.71,19.9,0.302,0.617,0.45,7.55,7.7,0.495,0.507,1.0,0.197,93.38,90.5,75.42,91,0.421
22100305,2021-11-29,0,0,240,37,90,0.411,8,33,0.242,14,18,0.778,8,47,55,20,7,6,12,21,96,22100305,1610612753,Magic,Orlando,240:00,94.2,93.2,97.2,99.0,-3.0,-5.8,0.541,1.67,15.4,0.185,0.758,0.491,11.774,11.7,0.456,0.49,1.0,0.2,102.92,102.5,85.42,103,0.489
22100312,2021-11-29,1,1,240,47,89,0.528,19,46,0.413,16,23,0.696,8,35,43,30,6,3,5,19,129,22100312,1610612762,Jazz,Utah,240:00,134.2,135.8,112.1,112.6,22.1,23.2,0.638,6.0,22.4,0.262,0.745,0.527,5.202,5.3,0.635,0.651,1.0,0.2,95.8,95.0,79.17,95,0.613
22100310,2021-11-29,1,0,240,39,89,0.438,12,39,0.308,6,15,0.4,7,26,33,20,8,7,10,15,96,22100310,1610612742,Mavericks,Dallas,240:00,97.4,96.0,110.8,115.2,-13.4,-19.2,0.513,2.0,15.9,0.17,0.778,0.416,10.142,10.0,0.506,0.502,1.0,0.201,100.76,99.5,82.92,100,0.394
22100309,2021-11-29,1,1,240,36,82,0.439,9,35,0.257,19,26,0.731,8,39,47,25,8,5,14,25,100,22100309,1610612750,Timberwolves,Minnesota,240:00,100.6,100.0,92.2,98.0,8.3,2.0,0.694,1.79,18.9,0.204,0.719,0.481,14.079,14.0,0.494,0.535,1.0,0.197,102.84,100.0,83.33,100,0.506
22100309,2021-11-29,0,0,240,36,91,0.396,9,37,0.243,17,21,0.81,8,39,47,27,6,3,14,18,98,22100309,1610612754,Pacers,Indiana,240:00,92.2,98.0,100.6,100.0,-8.3,-2.0,0.75,1.93,19.1,0.281,0.796,0.519,13.178,14.0,0.445,0.489,1.0,0.198,102.84,100.0,83.33,100,0.494
22100306,2021-11-29,0,1,240,43,74,0.581,18,35,0.514,16,21,0.762,5,30,35,32,2,1,13,18,120,22100306,1610612743,Nuggets,Denver,240:00,131.5,130.4,117.3,119.4,14.2,11.1,0.744,2.46,25.0,0.147,0.686,0.471,14.248,14.1,0.703,0.721,1.0,0.2,92.92,92.5,77.08,92,0.549
22100313,2021-11-29,0,1,240,48,94,0.511,14,35,0.4,13,16,0.813,14,33,47,30,11,1,8,21,123,22100313,1610612740,Pelicans,New Orleans,240:00,129.4,133.7,112.7,111.8,16.7,21.9,0.625,3.75,21.6,0.354,0.868,0.581,8.418,8.7,0.585,0.609,1.0,0.196,93.64,92.5,77.08,92,0.595
22100306,2021-11-29,1,0,240,43,91,0.473,15,44,0.341,10,15,0.667,12,27,39,32,2,1,9,18,111,22100306,1610612748,Heat,Miami,240:00,117.3,119.4,131.5,130.4,-14.2,-11.1,0.744,3.56,23.1,0.314,0.853,0.529,9.514,9.7,0.555,0.569,1.0,0.199,92.92,92.5,77.08,93,0.451
22100311,2021-11-29,1,1,240,49,92,0.533,8,18,0.444,10,16,0.625,15,36,51,28,4,6,10,15,116,22100311,1610612759,Spurs,San Antonio,240:00,123.4,128.9,106.8,108.8,16.6,20.1,0.571,2.8,20.4,0.383,0.698,0.55,10.634,11.1,0.576,0.586,1.0,0.196,93.38,90.5,75.42,90,0.579
22100307,2021-11-29,0,0,240,42,88,0.477,18,39,0.462,17,21,0.81,5,29,34,23,7,9,9,14,119,22100307,1610612766,Hornets,Charlotte,240:00,117.5,120.2,128.7,133.0,-11.1,-12.8,0.548,2.56,17.8,0.196,0.763,0.452,8.89,9.1,0.58,0.612,1.0,0.201,102.3,99.5,82.92,99,0.444
22100308,2021-11-29,0,0,240,31,87,0.356,7,43,0.163,20,26,0.769,4,41,45,16,10,10,13,14,89,22100308,1610612760,Thunder,Oklahoma City,240:00,82.8,86.4,96.4,100.0,-13.5,-13.6,0.516,1.23,12.6,0.133,0.759,0.441,12.1,12.6,0.397,0.452,1.0,0.194,106.64,102.5,85.42,103,0.413
22100317,2021-11-30,1,1,240,41,96,0.427,14,42,0.333,14,18,0.778,10,33,43,24,8,5,11,22,110,22100317,1610612757,Trail Blazers,Portland,240:00,104.8,111.1,90.9,92.9,13.9,18.2,0.585,2.18,17.3,0.298,0.755,0.509,10.484,11.1,0.5,0.529,1.0,0.197,103.06,99.0,82.5,99,0.575
